TABLE_SCHEMA,TABLE_NAME
classicmodels,customers
classicmodels,employees
classicmodels,offices
classicmodels,orderdetails
classicmodels,orders
classicmodels,payments
classicmodels,productlines
classicmodels,products
mysql,columns_priv
mysql,component
mysql,db
mysql,default_roles
mysql,engine_cost
mysql,func
mysql,general_log
mysql,global_grants
mysql,gtid_executed
mysql,help_category
mysql,help_keyword
mysql,help_relation
mysql,help_topic
mysql,innodb_index_stats
mysql,innodb_table_stats
mysql,ndb_binlog_index
mysql,password_history
mysql,plugin
mysql,procs_priv
mysql,proxies_priv
mysql,replication_asynchronous_connection_failover
mysql,replication_asynchronous_connection_failover_managed
mysql,replication_group_configuration_version
mysql,replication_group_member_actions
mysql,role_edges
mysql,server_cost
mysql,servers
mysql,slave_master_info
mysql,slave_relay_log_info
mysql,slave_worker_info
mysql,slow_log
mysql,tables_priv
mysql,time_zone
mysql,time_zone_leap_second
mysql,time_zone_name
mysql,time_zone_transition
mysql,time_zone_transition_type
mysql,user
performance_schema,accounts
performance_schema,binary_log_transaction_compression_stats
performance_schema,cond_instances
performance_schema,data_lock_waits
performance_schema,data_locks
performance_schema,error_log
performance_schema,events_errors_summary_by_account_by_error
performance_schema,events_errors_summary_by_host_by_error
performance_schema,events_errors_summary_by_thread_by_error
performance_schema,events_errors_summary_by_user_by_error
performance_schema,events_errors_summary_global_by_error
performance_schema,events_stages_current
performance_schema,events_stages_history
performance_schema,events_stages_history_long
performance_schema,events_stages_summary_by_account_by_event_name
performance_schema,events_stages_summary_by_host_by_event_name
performance_schema,events_stages_summary_by_thread_by_event_name
performance_schema,events_stages_summary_by_user_by_event_name
performance_schema,events_stages_summary_global_by_event_name
performance_schema,events_statements_current
performance_schema,events_statements_histogram_by_digest
performance_schema,events_statements_histogram_global
performance_schema,events_statements_history
performance_schema,events_statements_history_long
performance_schema,events_statements_summary_by_account_by_event_name
performance_schema,events_statements_summary_by_digest
performance_schema,events_statements_summary_by_host_by_event_name
performance_schema,events_statements_summary_by_program
performance_schema,events_statements_summary_by_thread_by_event_name
performance_schema,events_statements_summary_by_user_by_event_name
performance_schema,events_statements_summary_global_by_event_name
performance_schema,events_transactions_current
performance_schema,events_transactions_history
performance_schema,events_transactions_history_long
performance_schema,events_transactions_summary_by_account_by_event_name
performance_schema,events_transactions_summary_by_host_by_event_name
performance_schema,events_transactions_summary_by_thread_by_event_name
performance_schema,events_transactions_summary_by_user_by_event_name
performance_schema,events_transactions_summary_global_by_event_name
performance_schema,events_waits_current
performance_schema,events_waits_history
performance_schema,events_waits_history_long
performance_schema,events_waits_summary_by_account_by_event_name
performance_schema,events_waits_summary_by_host_by_event_name
performance_schema,events_waits_summary_by_instance
performance_schema,events_waits_summary_by_thread_by_event_name
performance_schema,events_waits_summary_by_user_by_event_name
performance_schema,events_waits_summary_global_by_event_name
performance_schema,file_instances
performance_schema,file_summary_by_event_name
performance_schema,file_summary_by_instance
performance_schema,global_status
performance_schema,global_variables
performance_schema,host_cache
performance_schema,hosts
performance_schema,innodb_redo_log_files
performance_schema,keyring_component_status
performance_schema,keyring_keys
performance_schema,log_status
performance_schema,memory_summary_by_account_by_event_name
performance_schema,memory_summary_by_host_by_event_name
performance_schema,memory_summary_by_thread_by_event_name
performance_schema,memory_summary_by_user_by_event_name
performance_schema,memory_summary_global_by_event_name
performance_schema,metadata_locks
performance_schema,mutex_instances
performance_schema,objects_summary_global_by_type
performance_schema,performance_timers
performance_schema,persisted_variables
performance_schema,prepared_statements_instances
performance_schema,processlist
performance_schema,replication_applier_configuration
performance_schema,replication_applier_filters
performance_schema,replication_applier_global_filters
performance_schema,replication_applier_status
performance_schema,replication_applier_status_by_coordinator
performance_schema,replication_applier_status_by_worker
performance_schema,replication_asynchronous_connection_failover
performance_schema,replication_asynchronous_connection_failover_managed
performance_schema,replication_connection_configuration
performance_schema,replication_connection_status
performance_schema,replication_group_member_stats
performance_schema,replication_group_members
performance_schema,rwlock_instances
performance_schema,session_account_connect_attrs
performance_schema,session_connect_attrs
performance_schema,session_status
performance_schema,session_variables
performance_schema,setup_actors
performance_schema,setup_consumers
performance_schema,setup_instruments
performance_schema,setup_objects
performance_schema,setup_threads
performance_schema,socket_instances
performance_schema,socket_summary_by_event_name
performance_schema,socket_summary_by_instance
performance_schema,status_by_account
performance_schema,status_by_host
performance_schema,status_by_thread
performance_schema,status_by_user
performance_schema,table_handles
performance_schema,table_io_waits_summary_by_index_usage
performance_schema,table_io_waits_summary_by_table
performance_schema,table_lock_waits_summary_by_table
performance_schema,threads
performance_schema,tls_channel_status
performance_schema,user_defined_functions
performance_schema,user_variables_by_thread
performance_schema,users
performance_schema,variables_by_thread
performance_schema,variables_info
sys,sys_config
